Johan Larsson,F,392,38,59,97,-41,1972-1981
Steve Atkinson,F,255,49,47,96,-24,1970-1972
Andrej Sekera,D,339,17,75,92,6,2000-2006
Rob Ray,F,889,40,50,90,-38,1977-1989
Doug Smith,F,162,35,54,89,-27,1985-1988
Grant Ledyard,D,240,18,71,89,10,2020-2022
Christian Ehrhoff,D,192,16,71,87,-23,1981-1982
Teppo Numminen,D,212,6,80,86,19,1976-1982
Gary McAdam,F,227,40,45,85,12,2011-2014
Phil Goyette,F,97,18,67,85,-26,2015-2021
Bob Sweeney,F,185,37,44,81,-1,2018-2019
Wayne Presley,F,202,48,32,80,30,1988-1989
Taylor Pyatt,F,230,38,42,80,-12,2008-2015
Tage Thompson,F,169,45,34,79,-41,1985-1986
Clarke MacArthur,F,187,41,38,79,-11,2009-2017
Erik Rasmussen,F,281,33,46,79,8,2009-2015
Dave Hannan,F,249,23,56,79,24,1992-1993
Ken Sutton,D,232,18,60,78,-4,2001-2002
Lee Fogolin,D,338,8,70,78,28,1971-1972
Daniel Paille,F,195,35,42,77,20,2016-2018
Jake McCabe,D,353,18,59,77,-28,1972-1975
Alan Haworth,F,106,37,38,75,-1,2015-2018
James Patrick,D,345,23,51,74,40,2016-2018
Casey Mittelstadt,F,182,30,43,73,-45,1982-1987
Jean-Francois Sauve,F,98,24,49,73,5,1986-1989
Nathan Gerbe,F,188,29,43,72,14,2011-2012
Dave Snuggerud,F,215,26,46,72,-8,1981-1983
Evan Rodrigues,F,192,26,45,71,-30,2021-2022
Mike Grier,F,241,23,47,70,-1,2001-2006
Darryl Shannon,D,255,12,56,68,87,1970-1971
Eddie Shack,F,111,36,31,67,-39,2012-2015
Jordan Leopold,D,174,25,42,67,-13,2020-2021
Zach Bogosian,D,243,13,54,67,-49,1974-1987
Geoff Sanderson,F,168,29,36,65,18,2011-2017
Yvon Lambert,F,77,25,39,64,22,1981-1991
Al Hamilton,D,145,6,58,64,-34,1990-1992
Jacques Richard,F,155,24,38,62,8,2015-2017
Mike Hartman,F,225,34,26,60,-12,2019-2020
Real Cloutier,F,82,24,36,60,-4,1992-1995
Mark Napier,F,128,26,30,56,-11,2006-2008
Steve Patrick,F,152,21,34,55,4,1985-1992
Doug Gilmour,F,82,10,45,55,6,1994-1997
Calle Johansson,D,118,6,49,55,5,1985-1986
Patrick Kaleta,F,348,27,27,54,-18,1974-1982
Mike Robitaille,D,170,8,46,54,0,2002-2012
Petr Svoboda,D,139,5,49,54,1,2008-2013
Conor Sheary,F,133,23,30,53,-22,1986-1988
Mike Weber,D,341,9,44,53,-42,1982-1983
Larry Carriere,D,206,9,43,52,14,1999-2001
Mal Davis,F,89,29,22,51,-8,2019-2020
Ken Priestlay,F,117,25,25,50,-10,2014-2017
Don Marshall,F,62,20,29,49,-13,2013-2022
Steve Montador,D,151,10,39,49,16,1992-1995
Dylan Cozens,F,107,16,32,48,-29,2014-2018
Ville Leino,F,137,10,36,46,-18,1971-1980
Wayne Primeau,F,225,19,25,44,-9,1970-1972
Gates Orlando,F,98,18,26,44,-9,2007-2012
Steve Ott,F,107,18,26,44,-23,1998-2000
Marco Scandella,D,176,14,30,44,-19,2016-2017
Kevin Maguire,F,167,18,25,43,5,1999-2003
Terry Martin,F,148,20,22,42,-12,1972-1975
Brandon Montour,D,112,13,29,42,-4,2003-2011
Rhett Warrener,D,266,9,33,42,47,2017-2018
Nathan Paetsch,D,157,7,35,42,17,2012-2015
Craig Rivet,D,165,4,38,42,-7,1995-2000
Matt Ellis,F,286,18,23,41,-22,1989-1990
Brian Flynn,F,159,17,24,41,-7,1974-1979
Larry Hillman,D,121,6,35,41,-24,2016-2019
Tracy Pratt,D,210,2,39,41,0,2013-2015
Mike Moller,F,127,13,27,40,1,2021-2022
Tony Tanti,F,80,16,23,39,-2,1985-1987
Norm Gratton,F,103,15,23,38,-7,1973-1987
Hugh Harris,F,60,12,26,38,8,1984-1989
Henri Jokiharju,D,162,10,28,38,-19,2020-2021
Wilf Paiement,F,56,20,17,37,3,1989-1992
Rasmus Asplund,F,124,14,23,37,-14,1999-2003
